,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
0,300002,神州泰岳,9.42,13.63,1.13,-0.11,12.55,1.31,18.34,19.88亿,17.65亿,166.26亿,33.71,电力物联网
1,300513,恒实科技,13.9,6.11,0.8,0.07,5.47,1.46,7.79,2.02亿,2.70亿,37.56亿,55.00,电力物联网
2,002474,榕基软件,9.38,5.87,0.52,0.21,9.91,1.45,6.88,4.52亿,4.98亿,46.70亿,239.77,电力物联网
3,002617,露笑科技,9.12,5.07,0.44,0.0,11.36,3.54,4.49,16.98亿,16.13亿,147.10亿,--,电力物联网
4,300286,安科瑞,39.48,4.06,1.54,0.46,0.89,0.83,5.51,0.61亿,1.75亿,68.95亿,49.69,电力物联网
5,300356,*ST光一,4.36,4.06,0.17,0.0,1.12,0.83,6.68,0.19亿,3.92亿,17.09亿,--,电力物联网
6,002308,威创股份,5.64,3.68,0.2,-0.18,3.11,1.35,5.15,1.54亿,8.97亿,50.56亿,50.20,电力物联网
7,600131,国网信通,19.94,2.84,0.55,0.05,0.85,0.65,4.54,2.00亿,11.94亿,238.15亿,29.95,电力物联网
8,002121,科陆电子,9.35,2.75,0.25,0.0,3.07,1.2,4.29,4.00亿,13.99亿,130.84亿,--,电力物联网
9,000682,东方电子,8.3,2.72,0.22,0.0,1.24,0.88,3.59,1.37亿,13.41亿,111.27亿,29.72,电力物联网
10,300139,晓程科技,10.19,2.72,0.27,0.2,8.14,0.68,2.92,1.92亿,2.34亿,23.81亿,--,电力物联网
11,300365,恒华科技,8.62,2.62,0.22,0.12,3.31,0.95,5.24,1.22亿,4.35亿,37.46亿,--,电力物联网
12,300201,*ST海伦,3.82,2.14,0.08,0.0,2.3,0.98,4.01,0.92亿,10.36亿,39.59亿,54.67,电力物联网
13,300830,金现代,10.24,2.09,0.21,0.49,5.96,0.93,4.19,1.44亿,2.40亿,24.62亿,--,电力物联网
14,300222,科大智能,7.94,2.06,0.16,0.25,2.32,0.84,3.73,1.15亿,6.26亿,49.73亿,--,电力物联网
15,300515,三德科技,15.98,2.04,0.32,0.31,1.17,0.48,3.58,0.34亿,1.80亿,28.83亿,39.79,电力物联网
16,300183,东软载波,18.0,1.98,0.35,0.06,2.6,0.92,3.0,1.56亿,3.35亿,60.38亿,53.36,电力物联网
17,002380,科远智慧,19.17,1.91,0.36,-0.05,5.58,0.71,3.99,1.50亿,1.42亿,27.13亿,55.37,电力物联网
18,603556,海兴电力,21.7,1.78,0.38,-0.14,1.02,1.72,3.89,1.08亿,4.89亿,106.04亿,16.93,电力物联网
19,000004,ST国华,9.9,1.75,0.17,0.1,0.74,0.45,1.85,0.09亿,1.19亿,11.77亿,--,电力物联网
20,002322,理工能科,11.7,1.65,0.19,0.0,1.67,0.86,2.78,0.70亿,3.60亿,42.11亿,26.95,电力物联网
21,300259,新天科技,3.73,1.64,0.06,0.27,1.21,1.18,2.18,0.37亿,8.11亿,30.27亿,17.75,电力物联网
22,002881,美格智能,33.47,1.52,0.5,-0.06,2.03,0.49,2.67,1.08亿,1.61亿,53.91亿,53.50,电力物联网
23,002929,润建股份,47.91,1.48,0.7,0.1,1.55,0.48,3.5,1.19亿,1.61亿,77.07亿,22.98,电力物联网
24,002546,新联电子,4.13,1.47,0.06,0.0,0.64,0.9,1.72,0.21亿,7.89亿,32.58亿,153.82,电力物联网
25,300341,麦克奥迪,14.17,1.43,0.2,-0.42,5.4,0.61,7.01,3.88亿,5.13亿,72.69亿,27.96,电力物联网
26,300427,红相股份,11.81,1.37,0.16,0.09,5.39,0.81,2.4,2.05亿,3.23亿,38.17亿,43.52,电力物联网
27,002028,思源电气,45.72,1.35,0.61,-0.11,0.41,0.6,2.24,1.13亿,5.97亿,272.96亿,28.88,电力物联网
28,300444,双杰电气,5.37,1.32,0.07,-0.19,1.44,0.78,3.58,0.45亿,5.92亿,31.81亿,--,电力物联网
29,300376,易事特,7.78,1.17,0.09,-0.13,0.65,0.7,1.69,1.17亿,23.25亿,180.85亿,34.04,电力物联网
30,300366,创意信息,12.37,1.15,0.14,0.0,6.79,0.6,2.94,4.11亿,4.96亿,61.31亿,--,电力物联网
31,300670,大烨智能,8.05,1.13,0.09,0.0,0.68,0.95,1.76,0.12亿,2.12亿,17.08亿,--,电力物联网
32,300360,炬华科技,15.27,1.13,0.17,-0.07,1.62,0.65,2.65,1.07亿,4.36亿,66.57亿,19.60,电力物联网
33,002169,智光电气,8.13,0.87,0.07,0.12,1.35,0.82,1.24,0.84亿,7.64亿,62.09亿,138.75,电力物联网
34,002339,积成电子,8.18,0.86,0.07,0.0,2.11,0.52,1.36,0.82亿,4.78亿,39.11亿,--,电力物联网
35,601567,三星医疗,12.73,0.71,0.09,0.16,0.85,1.21,2.69,1.48亿,13.87亿,176.51亿,19.22,电力物联网
36,688100,威胜信息,30.38,0.7,0.21,-0.03,0.3,0.91,2.22,0.44亿,4.90亿,148.83亿,37.96,电力物联网
37,600590,泰豪科技,6.54,0.61,0.04,0.15,0.83,0.66,1.39,0.46亿,8.44亿,55.17亿,16.06,电力物联网
38,300882,万胜智能,18.31,0.6,0.11,0.06,2.38,0.63,1.32,0.25亿,0.58亿,10.55亿,33.01,电力物联网
39,688171,纬德信息,23.68,0.55,0.13,-0.13,2.86,0.78,3.4,0.23亿,0.34亿,7.94亿,51.40,电力物联网
40,688616,西力科技,12.69,0.47,0.06,-0.47,1.34,0.77,2.06,0.09亿,0.55亿,6.94亿,30.05,电力物联网
41,688589,力合微,42.32,0.19,0.08,-0.05,3.26,0.78,2.25,0.77亿,0.57亿,23.98亿,56.48,电力物联网
42,300477,合纵科技,5.32,0.19,0.01,0.0,0.85,0.66,1.13,0.42亿,9.28亿,49.34亿,40.57,电力物联网
43,688259,创耀科技,77.32,0.18,0.14,0.0,1.17,0.6,2.9,0.51亿,0.57亿,44.14亿,67.54,电力物联网
44,688597,煜邦电力,14.21,0.07,0.01,0.0,3.13,1.05,2.89,0.56亿,1.27亿,18.07亿,31.64,电力物联网
45,601222,林洋能源,7.91,-0.13,-0.01,0.0,0.65,0.81,1.39,1.07亿,20.60亿,162.96亿,16.66,电力物联网
46,300712,永福股份,41.1,-0.19,-0.08,0.0,1.29,0.64,2.02,0.99亿,1.85亿,75.91亿,104.02,电力物联网
47,000400,许继电气,23.4,-0.21,-0.05,-0.13,0.69,0.61,1.71,1.63亿,10.08亿,235.94亿,27.31,电力物联网
48,300184,力源信息,5.3,-0.38,-0.02,0.0,4.72,1.3,3.57,2.59亿,10.48亿,55.56亿,21.11,电力物联网
49,002090,金智科技,13.16,-0.53,-0.07,-0.08,1.94,0.6,1.89,1.02亿,3.99亿,52.57亿,246.12,电力物联网
50,300880,迦南智能,17.22,-0.69,-0.12,0.18,1.48,0.82,2.37,0.22亿,0.85亿,14.66亿,23.24,电力物联网
51,688611,杭州柯林,54.68,-0.78,-0.43,0.09,1.09,0.33,1.71,0.08亿,0.13亿,7.26亿,52.29,电力物联网
52,600406,国电南瑞,27.11,-1.6,-0.44,0.22,0.23,0.71,2.29,4.22亿,66.41亿,1800.31亿,37.24,电力物联网
0,000409,云鼎科技,9.84,7.42,0.68,0.1,11.0,0.67,7.86,4.48亿,4.23亿,41.66亿,291.67,ERP概念
1,301236,软通动力,50.0,6.38,3.0,0.04,11.18,0.76,8.51,20.59亿,3.78亿,189.02亿,35.44,ERP概念
2,688369,致远互联,96.64,6.01,5.48,0.04,2.3,0.75,8.57,1.39亿,0.64亿,61.76亿,75.07,ERP概念
3,600588,用友网络,25.15,5.94,1.41,-0.16,2.48,1.13,8.76,20.84亿,34.17亿,859.34亿,393.98,ERP概念
4,300996,普联软件,53.43,4.11,2.11,0.0,2.71,1.53,7.68,1.22亿,0.85亿,45.52亿,434.19,ERP概念
5,300687,赛意信息,38.81,3.96,1.48,0.0,4.67,0.7,7.23,5.57亿,3.16亿,122.80亿,77.0,ERP概念
6,000555,神州信息,14.01,3.93,0.53,0.0,2.5,1.28,5.04,3.36亿,9.80亿,137.31亿,66.73,ERP概念
7,300378,鼎捷软件,22.8,3.83,0.84,0.0,3.82,0.65,5.24,2.27亿,2.66亿,60.75亿,46.25,ERP概念
8,300339,润和软件,26.05,3.7,0.93,0.0,7.96,0.55,4.82,15.76亿,7.71亿,200.97亿,128.47,ERP概念
9,300170,汉得信息,14.15,3.44,0.47,-0.07,6.19,0.65,5.48,7.12亿,8.27亿,117.03亿,20.83,ERP概念
10,600845,宝信软件,58.2,3.32,1.87,-0.17,0.47,1.23,5.04,3.83亿,14.37亿,836.60亿,57.14,ERP概念
11,002232,启明信息,16.03,2.95,0.46,0.06,3.59,0.77,4.56,2.31亿,4.09亿,65.49亿,72.75,ERP概念
12,002530,金财互联,8.75,2.1,0.18,0.11,4.25,0.48,3.38,2.42亿,6.60亿,57.76亿,--,ERP概念
13,002315,焦点科技,23.36,1.83,0.42,-0.3,6.97,0.59,3.88,3.14亿,1.95亿,45.48亿,24.21,ERP概念
14,300807,天迈科技,26.9,1.13,0.3,0.0,2.56,0.57,3.12,0.33亿,0.49亿,13.08亿,--,ERP概念
15,300195,长荣股份,6.35,0.16,0.01,0.0,1.29,0.66,1.42,0.26亿,3.13亿,19.90亿,691.69,ERP概念
16,300131,英唐智控,5.78,-0.17,-0.01,0.0,3.02,0.78,2.25,1.78亿,10.28亿,59.44亿,119.42,ERP概念
17,002398,垒知集团,6.41,-1.08,-0.07,0.0,1.79,0.38,1.54,0.67亿,5.77亿,36.97亿,21.79,ERP概念
18,300668,杰恩设计,21.09,-2.36,-0.51,1.01,1.54,1.02,4.63,0.26亿,0.79亿,16.65亿,85.35,ERP概念
0,300253,卫宁健康,13.87,19.98,2.31,0.0,7.36,1.68,19.2,17.60亿,18.49亿,256.46亿,159.54,DRG/DIP
1,300451,创业慧康,10.98,14.61,1.4,0.0,5.69,1.57,16.49,8.01亿,13.57亿,149.04亿,74.64,DRG/DIP
2,002777,久远银海,28.32,8.13,2.13,0.04,6.07,1.23,13.9,6.48亿,3.99亿,112.94亿,62.77,DRG/DIP
3,300168,万达信息,11.24,6.54,0.69,0.09,5.52,1.09,8.34,7.13亿,11.83亿,132.99亿,--,DRG/DIP
4,688246,嘉和美康,49.11,6.09,2.82,0.02,3.85,1.43,13.07,1.83亿,1.00亿,49.04亿,105.28,DRG/DIP
5,300096,易联众,7.68,5.35,0.39,0.26,7.32,1.36,9.88,2.09亿,3.77亿,28.92亿,--,DRG/DIP
6,000503,国新健康,10.9,4.81,0.5,0.0,2.77,1.23,6.25,2.69亿,8.99亿,97.97亿,--,DRG/DIP
7,688579,山大地纬,14.76,4.31,0.61,-0.27,3.46,0.85,6.29,1.41亿,2.82亿,41.57亿,95.13,DRG/DIP
8,300078,思创医惠,5.68,4.22,0.23,0.0,4.74,0.6,6.24,2.05亿,7.75亿,44.05亿,785.71,DRG/DIP
9,600718,东软集团,12.09,3.33,0.39,0.08,3.19,0.74,5.81,4.54亿,12.04亿,145.53亿,86.19,DRG/DIP
10,300290,荣科科技,5.33,2.7,0.14,0.0,3.63,0.66,4.82,1.19亿,6.24亿,33.24亿,86.08,DRG/DIP
11,002065,东华软件,8.3,2.09,0.17,0.0,7.78,0.79,7.01,18.33亿,29.04亿,241.05亿,41.26,DRG/DIP
12,603716,塞力医疗,10.27,1.38,0.14,-0.1,1.09,0.47,1.78,0.22亿,2.01亿,20.68亿,--,DRG/DIP
13,301117,佳缘科技,76.72,1.03,0.78,0.1,1.05,0.47,2.19,0.34亿,0.43亿,32.63亿,144.95,DRG/DIP
0,002533,金杯电工,7.4,9.96,0.67,0.0,13.64,5.64,7.13,5.98亿,6.02亿,44.55亿,14.65,超导概念
1,000962,东方钽业,11.77,3.7,0.42,0.0,2.47,2.75,7.4,1.29亿,4.41亿,51.89亿,28.93,超导概念
2,600105,永鼎股份,4.52,2.26,0.1,0.0,3.43,1.01,3.39,2.13亿,13.81亿,62.42亿,58.49,超导概念
3,600468,百利电气,4.49,0.9,0.04,0.0,1.39,0.51,1.35,0.67亿,10.88亿,48.84亿,37.33,超导概念
4,600973,宝胜股份,5.08,0.79,0.04,-0.2,0.85,0.76,1.39,0.59亿,13.71亿,69.67亿,107.59,超导概念
5,600522,中天科技,17.09,0.12,0.02,0.06,2.81,0.42,2.17,16.31亿,34.13亿,583.27亿,17.71,超导概念
6,688122,西部超导,81.53,-0.21,-0.17,-0.2,0.58,0.62,2.12,2.20亿,4.64亿,378.34亿,35.03,超导概念
7,600595,中孚实业,3.23,-0.92,-0.03,0.31,0.19,1.09,2.15,0.24亿,39.22亿,126.69亿,12.35,超导概念
8,600363,联创光电,31.99,-1.11,-0.36,0.22,1.79,1.06,2.97,2.59亿,4.51亿,144.14亿,51.81,超导概念
0,002913,奥士康,35.0,5.9,1.95,0.17,3.33,1.03,7.17,3.03亿,2.66亿,92.97亿,20.38,6G概念
1,688418,震有科技,17.24,4.99,0.82,0.0,4.04,1.09,7.55,0.92亿,1.33亿,22.86亿,--,6G概念
2,300634,彩讯股份,27.69,4.69,1.24,0.11,5.58,0.74,6.31,6.37亿,4.20亿,116.28亿,57.65,6G概念
3,600941,中国移动,89.97,4.2,3.63,0.0,3.36,0.83,5.07,22.65亿,7.59亿,682.53亿,15.32,6G概念
4,601728,中国电信,6.33,4.11,0.25,-0.16,3.08,0.86,6.25,37.60亿,195.90亿,1240.07亿,20.99,6G概念
5,000063,中兴通讯,32.56,3.04,0.96,-0.03,2.54,0.79,4.05,32.61亿,39.80亿,1295.85亿,19.08,6G概念
6,002512,达华智能,4.35,2.84,0.12,-0.23,3.22,0.85,4.49,1.45亿,10.49亿,45.65亿,--,6G概念
7,600050,中国联通,5.42,2.46,0.13,-0.18,1.35,0.75,3.59,22.40亿,309.62亿,1678.16亿,23.61,6G概念
8,000070,特发信息,10.11,2.23,0.22,0.0,8.75,0.55,7.08,7.21亿,8.33亿,84.20亿,87.38,6G概念
9,002792,通宇通讯,15.18,2.22,0.33,0.0,7.92,0.82,5.25,2.87亿,2.42亿,36.68亿,67.20,6G概念
10,603236,移远通信,120.18,2.08,2.45,0.01,1.34,0.51,3.54,3.03亿,1.89亿,227.12亿,39.11,6G概念
11,600498,烽火通信,19.6,1.98,0.38,-0.2,2.96,0.6,6.19,6.46亿,11.32亿,221.78亿,57.84,6G概念
12,002115,三维通信,7.05,1.73,0.12,0.0,13.65,0.85,4.18,6.65亿,6.94亿,48.91亿,48.51,6G概念
